Author,Rating,Review_Title,Review
Bala,3,good product,good product for this price. I like my Amazon - Fire - 7 Tablet - 8GB - Black
Nikki,2,No sound through headphones.,I have one issue with this tablet. What headphones work with this tablet? I used a pair the first time to watch a movie and they worked fine. When trying to view a movie again none of the headphones are working on this tablet. I have tried multiple headsets with no success. Please Help!
ahctexas,5,Great Gifts,"I buy these often for trade show booth prizes. The customers are always excited about them, and they make great gifts!"
Vamsi,3,good tab for the proce,brought it as a gift for my uncle and its a decent tab for the price.
Nikki,5,Works great!,Bought it for 12 year old. Works great and he loves it. Very happy.
Me7568,5,Great for anyone!,I love this tablet! It's easy to use and set up! I love reading books and magazines on the tablet! The apps are great and easy to use! This is an all around great device!
Jon1974,5,Great tablet for my 7 year olds,"Great tablet for my kids to use. Plenty of apps to choose, easy to set up and add parental controls. Cheap enough as well for what my kids use it for games and videos instead of spending 4 times as much on a different tablet"
Makgal,5,Just What We Needed,"Perfect for reading, easy to carry, why spend more"
01taisha,5,I loved,this is the perfect table to download books from Amazon....
missy,4,Great item Great price,Great item for Great price. Functions as expected.
auststry,4,Good for the money,I bought two of these items. The first was for my mother in law. She is visually challenged and it was recommended by her doctor. The second I received as a fathers day gift. The first one had issues that required a return and replacement. It now works fine. Exchanged at Best Buy with no problem. The only problem I see is the limitation on available apps. But that is a minor issue at this point. For the money you can't beat it.
Karen,5,Love the Kindle Fire,I have had my Fire for 5 years at least and love it. Bought this for my mother. Her IPad died. She is enjoying it. Her only issue is there is a game she can't download because it is on Google play.
Angie,5,Great kindle for my 5 year old its awesome,Love this Gadget it's pretty amazing for adults and children very useful
Smitty,4,Many functions,"I'm a little challenged when it comes to stuff like this , but it's many functions makes it fun to learn new things ."
bammie,5,Excellent small tablet,"This tablet is great - the size is just right for carrying it in your purse or backpack. The clarity of the screen is very good. You can play games, access email, search the web, etc. Would recommend to a new purchaser."
JoAnn,3,good tablet for my grandson,"Not sure of quality. His first Kindle Fire would no longer charge properly. It was cheaper to get a new one rather than attempt to have the old one fixed. He has already had a problem with this one charging properly; however, I believe the problem might have been with the charging cord and not the tablet itself."
scoobydooku,4,Great little tablet,Great for everyday use! Price is right! Easy to setup & use!
scoobydooku,4,Great little tablet,"Does everything you need for ""daily"" use. Easy to set up, easy to use, price is great!"
DOAD,4,It's okay,A decent tablet. Just wish the app store had some better apps to download.
Argenis,4,Great casual tablet for the buck!,Fantastic price. Large amount of app to choose from. Good parental controls. Helpful technical support. Of course don't expect this tablet to not getting slow when multiple apps are running in the background.
NJSurfs,5,Great little tablet for low price,I love this little tablet. My daughter loves free time app on it. She wants to play on the fire tablet more than her kids Samsung tab
Andy,4,Great tablet for students,Purchase this tablet for my niece and I must say it's a best product in this range.
mcdad,4,A bargain,A bargain; this tablet is very affordable and the picture quality is very good.
NickKentK,4,Great buy!!,Can't beat the Fire tb at $50. Was able to root it in about 5min to get google apps installed and use it like an android tab. I mainly bought for reading to use the blue shade feature which is great. Only complaint is the processor is little lacking compared to phones with the same specs
snake,4,A good tablet for a beginner.,A very good price for the tablet. The sound volume is a little low. Needed someone with technical knowledge to help me set-up the tablet.
BEACHMOM717,4,Great tablet for kids,"I bought this Fire for my son for primarily reading. Definitely not as good as the antiglare ones. If I were buying again for that purpose I would upgrade to the ones specifically for reading. As a tablet, it is a little difficult to navigate. It seems very cluttered. Does the job though."
BEACHMOM717,4,Great inexpensive tablet for kids,"We bought this tablet primarily to use the kindle reader. The layout is muddy and things are a bit hard to navigate. Once you figure it out, it isn't bad. Not an iPad, obviously, but definitely worth the low price."
Mybabyboys,5,Kindle is great for my 8 year old,Great phones for my sons that are 13 and my 8 year old lives his kindle
Shawn,4,Great for my wife,this was great for my wife who just needed a basic tablet for web browsing and media consumption.
honey,5,Great for kids,Tablet was purchased by our daughter with her own money. She worked her tail off for this tablet. She loves it and will be using for school and travel.
DCinMD,5,PERFECT,Right size for travel. Perfect for reading. Everyone should own one.
Christy,3,Great tablet for reading,The tablet is great for reading and watching movies
Christy,5,Great tablet for reading,The tablet has been great for reading and the picture is large enouph
Tbaby22386,4,Great tablet for kids ...,This product is great for children. Easy to use and very inexpensive. Allows for enough storage and very durable!
Justeye,4,Good for kids,The fact that it has parental control so I can verify what they are downloading is great
spawnevil,4,Great tablet,Amazing tablet for the price i love it is really easy to use and light weight awesome speed
chef,5,fire,I love my fire... The games and the pictures great
John,1,Fire,Great tablet for kids but the screen isn't as strong. Charging port is very poorly built
queque,4,kindle,Great product easy to use. Having different color choices wonderful.
Newhome,5,Love it,"Love this tablet, great price and is really fast. Is worth every penny."
Moniee,5,Great tablet,Kids love it to death! Games and tv also learning its wonderful
DaisyMae12,5,Great tablet,"Much lighter than my last Kindle, I love it. Great value for the price."
khan24,5,Bought it for dad,"Wanted to buy a reliable and cost effective tablet. Was afraid the screen might be too small. Dad loved it. He is 70 and not too tech savvy but is able to browse the Internet, use Skype and listen to music. He is afraid he will purchase something by mistake and get a charge on his credit card. :)"
MurkumMike,5,Easily a deal and a steal at the same time!!,I recently bought this for my son who HP tablet died on him a month before I got him the Fire. Best thing I've done!! It didn't cost a lot and it's made solid with beautiful deep colors and smooth video playback. I'm seriously thinking of buying one for myself soon. If you are looking for a tablet to play games and watch movies this the perfect little travel mate for you.
Booboo59,5,great,I purchased this as a gift and the child loves it!
Steph,5,Travel lifesaver,Last minute online purchase before taking my daughter on a trip. It was ready for pick up in an hour and kept her entertained the entire ride.
joceemaga,4,Really liking this tablet!,I enjoy reading ebooks on this tablet as well as watching videos. It's just so handy to carry around in my purse.
Christian,5,Great Tablet for the Money,Excellent tablet for watching movies and TV. Get the extra memory SD card and you will be good to go.
bzgranny,5,Grand daughter loves it,My grand daughter wanted a tablet and this was a wonderful purchase for her birthday. The price was excellent and it does everything she was looking for and more. She never wants to put it down!
cherry,3,very good,very good just don't forget to ask for the none promo one
deighmey,5,great reader and game machine,"I purchased the two tablets for two of my three grand children, they are both very happy with the fire tablets and things have been very peaceful in my son's house since i gave them to the kids."
Kath,5,Perfect for what we need,Great for things I need it for and is easy to store and put in my purse
mikeyb,5,Unbelievable product easy usage hours of fun,"I went shopping on Black Friday just with plans to buy a GPS, then there was a display of the Amazon Fire tablets, people were grabbing them quickly, I grabbed four myself, I saved one for my wife and myself, two for presents. I use the tablet more than my laptop, this tablet is filled with games, an excellent camera, watch T.V. & Sports, reading Books, it comes with 8gb but it can handle up to 128gb."
FredMA,4,Unbelievable bang for your buck,"Great product for the price but make sure to purchase a separate SIM card, 8GB fills up fast."
Orrin,5,Great for the price,Can't beat this lil tablet on value.Purchsed on black Friday so we got a great deal.Good battery life and the user experience is good too.I've had no problems with it and I am happy with my purchase.
ladytaz69,5,Love it,"I am upgrading from a gen. 1. I love that I can add a mini SD for more storage, also a lot easier to navigate. My son now has my old one for reading books."
Doug,4,Good low priced tablet,I bought this as a gift for my stepdaughter. She seems to be happy with it
copierman66,5,another great kindle,Love the kindle product have purchased several kindles and several types and this is another great product. this model doesnt have the auto dimming feature that i like on previous model but still a great kindle
Nagoyab,5,great for my kids,Bought this for my toddler and teen they both love it.
LadyQ,1,Does not work,Charge the device and was able to set up everything and when I came back to use it it would not work
Chrissy0825,4,I would recommend,"I bought two for my grandchildren , 5-8 they both love them , easy to work .fast, and has excellent parental control feature ."
Santi,4,Nice and cheap tablet,I bought it in thanksgiving.its very cheap and has got good features for that.
Samm,5,Love It,"My daughters having fun with this tablet, great Christmas present."
Ndfan123,5,Good tablet,I got this for myself. The price on this is amazing for what you get. Yes I would of liked to get an iPad because I'm very used to Apple an I have a iPhone but the price difference between these it pretty much a no brainier for me.
Mommyof4,5,Great for all ages!,"We looked into tablets for three of our children for Christmas. There were three things we looked for: the ability to use it for books, games and videos and our ability to control the activity. The kindle fire gave us all those and more. I love that we can increase the storage when/ if we want to. I love that we can control play time. I was concerned because all of our kids were used to our iPad, but they have had no issues adjusting to the change. We are extremely happy with this purchase!!"
Jen1983,5,Fantastic little tablet.,"I love my tablet so far! It does everything I need it to. Movies, music, games, and books. I love it for streaming movies. The video quality is fantastic. Reading is also super easy and I don't get headaches from the screen. Definitely happy. Bought my hubby one too."
Dfendend,5,Works great!,"I bought this for my mother for Christmas and she absolutely loves it. Originally I thought of the idea for her to read on so she could make the font larger, but now she is using it for so many other things. She is a happy mom"
Chaju,5,Awesome first tablet for kids,Bought this tablet foe my 8 years old son and he love it.
hrcollins77,5,Nice tablet!,"I was looking for something new to use to read with and this was a good choice. Easy to navigate, multi functional and great color!"
musicman53,5,very easy to use,nice pickup for my wife who is just learing to use a tablet
Gardenlady3,5,A great tablet for the money,I have used tablets before that cost a lot more money. For the price this tablet is a bargain.
RCZon,1,A great tool to use to read and surf the internet.,I love using it to read and surf the internet. It is also very handy.
rydellLB,5,Best 50 dollar tablet on the market.,"Got this for my eight year old son. But wanted to keep it for myself after testing it out. Good graphics, camera front and rear. Camera resolution as good as could be expected for 50 bucks. Access to play store apps a plus. All in all good 50 bucks spent."
Rochelle,4,Great for kids,Lots of apps for kids. My 5yr old loves it. Great buy.
Michelle,4,Needs longer cord.,Already lost the cord. It should be longer so u don't forget it. Especially on vacation.
TheFamily,3,Great for the price,I purchased two of these for my kids since they both wanted tablets for Christmas. We liked that they could use it like their own but we had total control of what the used and viewed. It is a lot faster than the older Kindle. It is pretty durable as well.
alyssa83,5,Great for kids!,This product is great for kids! Not so expensive or fragile that you have to be super careful with it but great for the basics!
Ram1athon,4,Good value,Internet sucks on this thing. They need to do something better. My phone is 3x faster.
John,5,Fantastic for the price,"I bought this tablet as a gift for my mother-in-law, who is not very tech-savvy. She already owns a laptop, but was interested in getting a tablet to use while watching TV, rather than a whole laptop. She also travels around quite a bit, so having something light she could take with her was a big plus. I've owned a couple Amazon tablets before, so I had an idea of how they worked, and I wanted something at a low price point, so I decided on this. So far, she loves it! A couple of important points:-The low price point comes at the cost of hardware. After using my Fire HDX, this tablet felt just a little slow, but not excessively so. It performed better in basic tasks (loading apps, web browsing, etc) than I expected based on my experiences with other tablets at similar price points.-As an Amazon tablet, this runs a modified version of Android, but does NOT have baked-in access to Google services (including the Google Play Store). You will be restricted to Amazon-approved apps, unless you sideload apps on your own, or are able to get access to Google services yourself. Popular apps like Netflix, Skype, and Facebook are all present, but the selection pales in comparison to native Android."
BigErica4,5,Good product,My daughter can never put her fire tablet down she really loves it
Weezie07,3,Great Tablet for beginners,I purchased this for my stepdaughter. well her dad and I are no longer together we divorced 2 yrs ago. Both her parents could not purchase this for her. So Merry Christmas little one. She loves it . Easy to learn great for pictures
KumasDaddy,5,Great cheap alternative to an IPad,"I picked up 2 of these for my girls (ages 5 and7). They are constantly on them to play games and watch movies. At $50 each, these are great alternatives to an IPad. Also, there is no angst if they are lost or broken."
Dutch,5,Met my expectations,Can not beat the quality of the product for the cost.
poobie12,5,Great for a Teenager!!!,"My Grandson loves this tablet. With all of the Apps, and the Games also!"
Dellie,1,Great for my grandkids and mother.,"I totally love the Kindle Fire tablets purchased for my grandkids. My sister purchased one in our hometown for my mother. She is equally happy. My granddaughter and grandson spend their wind down time in the evening on the tablets playing their favorite games. In addition, they want a dog and conduct research for the type of dog that the would like. Overall, the tablets are easy to use and provides technology for them when they visit every other weekend. I am pleased."
LAW123,4,This is great for my 9 year old son.,I was able to get this for a great price an my son is able to read books and of course play games. Great price and purchase!!!
Tlooloobell,4,Cheap tablet for kids,"I wish I purchased the warranty, this kindle is glitchy and pixelly (if that's even a term) and also freezes"
Movie,5,Perfect tablet for our son.,Purchased this tablet for a 9 yr old and it's perfect. Easy to use and very durable. He is very happy.
Maggie,4,Good tablet,Nice budget tablet fast and does the job. For the price is a nice tablet.
FUNNEWGEN,5,Daughter Xmas gift,"Great selection of apps, books, overall everything, daughter loves it!"
jenden,5,great kindle for your granddaughter,My granddaughter loves her Kindle Fire tablet. Easy to use and am purchasing one for my husband.
Alice,5,I love to read books on it.,Nice tablets to take on the go!!! Also great for reading books.
Horse,3,Good,"It is not as easy to use as my iPad. There is no Retina display , which I got used with my Apple gadgets"
br00klyn0716,5,Amazon tablet,Great product. Purchased for my wife to replace her fire hd. She loves the screen and the fact that it fits in her pocketbook.
Black,4,Great Product,"I bought one for my daughter, so I decided to buy one for me the tablet is very user friendly."
Mills,4,great quality for the price.,"This is just a basic kindle fire for my 7 yr old child. It works fine for her. It obviously doesn't have comparable picture quality when compared to the HDX versions, but it still has the same functions. It does have a rear and forward facing camera, making it easy to take pictures of the dog. There are lots of safety features and apps for kids also."
Lee8,5,Great product,I love this kindle! My old one lasted about two years before it died so hopefully this one will hang in a little longer because I use it all the time.
Boyd,4,Good starter,"Can't beat the price and features on this tablet. All the features are competitive even with Amazon's proprietary operating system and appstore. Most common Google play apps are available, but if they're not, chances are there is something analogous. Navigation can be a little cumbersome as it isn't as customizable as some might like, but bottom line is, it's a pretty full feature tablet for fifty bucks."
24soontobe5time,4,it's alright,"I bought for the wife, she's still using her old one. don't know why"
fawadaziz,5,Very good tablet for this size,You can't go wrong either with Kindle or with the price. Very good buy.
proudamerican632,5,Son loves his fire.,"He loves the games, that he can down loaded boos, music and videos."
emom04,4,Good tablet,"This is a good tablet for basic functions. It was smaller than I expected. We had a Fire when they first came out and I was thinking it would be the same size. The screen size is very small, but I guess that is why it was $49 instead of more expensive. It is good for reading, basic games and kids. But if you want to surf the web, it is really hard to see more than the top few inches of the webpage. It is great with the 8G, but would like a bigger screen for that price! :)"
Aprilmoe,5,Great Tablet,"I bought this tablet for my dad for Christmas and he loved it! I had to show him how to use it (of course), but now he has the hang of it!! Great buy!"
Bgreensd,5,Good purchase,"Love it ,great product for a great price. Will be getting another one"
cedd,5,very fun item for young kids to play on,"Good product, needs a few more things added on but works very well"
Tyler,5,Great screen resolution,I bought 2 for my 4 and 5 year old and thet love it.
Lisa,5,Good tablet for basic apps,"Great tablet. Love reading my books, playing puzzles, and going on basic social apps."
Lestersavage,5,Very user friendly,The Amazon fire 8 is by far one of the easiest tablets to navigate through all the Apps and with PRIME membership it's truly a very easy and good sturdy design.
FireNina,4,Perfect for a 6yr old!,Purchased as a gift for 6yr old boy. He can now play all the games he wants without having to share with big brothers!!
fdny,4,great tablet for children,"Pro -Inexpensive, compact device.Con - lack of protective covers"
bethal17,4,Great basic tablet,"I purchased this because I wasn't sure how a tablet would work for me, and wanted to buy an inexpensive ""starter."" I was quickly sold on the convenience and ease of use. The ads are a minor issue - they go away with the swipe of a finger! I'm able to watch tv and movies, access the internet via Wi-Fi, play games, and send email with ease. (Be aware - this tablet does come with a 30-day trial of Amazon Prime, and if you don't cancel before the end of that trial, it automatically enrolls you.)"
Steve,4,Surprisingly great!,"My wife gave this to me for Christmas and one for my daughter. For the money, I thought it wouldn't be worth it, but I was wrong. It is really way more powerful than I thought. I can do Word and Excel, PowerPoint, pdf's, work email, surf the Internet, movies, books, games...pretty much everything I thought I needed to spend 10X the money to get. I'm very surprised and happy with it. Only two I would change: a better picture and stop the ads on waking. This is a great value."
Denise,5,I'm happy!,"Great price for the device. Many options, easy to use!"
JenniferW,4,Perfect for any age,I purchased this tablet for my son to use after realizing he took mine over almost completely. He has no problems navigating from game to game. Excellent speed and love the HD screen.
paulec,5,like it better then my tablet,Works very well. Was able to get it to work with my tablet and all our Samsung phones. Easy to setup family app's with Amazon prime.
Mike,4,Great for the price,"Smooth and quick operarion. Ap store for Amazon could be better, but pretty good value for the price."
Sparky9579,5,Great entry level tablet/E-reader,"A great entry level tablet, all other tablets at that price don't stack up."
Mike,5,Great for games,"Good tablet for games,adds and imails. Also good size"
CindyDiG,5,Perfect Gift,My high school aged daughter just wanted a small tablet to watch Netflix and read books. This tablet is the perfect fit and I don't have to worry about her carrying around her expense iPad to school. I'm thinking about getting one for Grandma too.
Blondie,5,Great tablet for kids,My children love this tablet. It's fun and easy for them to use!
rcalderon86,4,Good tablet for the price,Tablet gets the job done and is very affordable for those who cannot buy an iPad but it is laggy at times and overall cannot stand with an iPad.
Dort,5,Love My Fire,This fire tablet has handled all of the facebook games I play without skipping or tieing up.I'm very impressed.
Beyonce1,3,Great,"Bought this as a gift for my niece but I use it every now and then. She loves it, gives her ebook, music, videos, games etc... All in one through Amazon without having to get any external apps, most already built in. I like it as well except not so much the platform and navigating around it."
Jmsjms,5,Great product,This item is a great product. Let's me use it for different things.
Mama87,4,Love the camera,I like it alot it has the basics that my children needed and even my husband loves it so we will be coming back for a few more :)....
Nush,5,Easy to use,"Bought for my grandchildren,easy for them to use, Great downloads for kids,they love the easy to use camera.Great prices.The book downloads for them to read.I highly recommend this product,for anyone who has children!"
Mhudson,4,Great buy,I bought this for my daughter and she loves it!!! One thing I dont like is the charger doesnt stay in well. Its ok because I just rig it up and leave it on the charger over night. Only other complaint would be she can't download same games as her brothers tablet. Other than that absolutely great buy for $49.
dim5um,5,Easy to use,Practical and easy to use. Does what it needs to for the price
KennedyFriedPatron,5,My First Tablet.,"I never had a legitimate reason for owning a tablet. I prefer watching shows and movies on my TV and I prefer reading actual books as opposed to a tablet. However, when I learned that Best Buy was selling this Amazon tablet for $34.99 on Black Friday, I knew that I had to get my hands on one. Even with the aforementioned reasons for not getting one, I couldn't argue with that price. I think it's a great starter tablet. It may not have the largest screen or HD quality but then again I don't need all of that. The quality and size of the screen are perfect for that price. 8GB may not be a lot of memory but there is also an option to get more storage via a memory card. I very much satisfied and recommend this tablet to anybody, especially those who are curious about tablets and haven't purchased on yet."
Momma777,4,Okay,Okay new look is less appealing but seems to work okay
Raxs51,4,Amazon Fire tablet,I used it as a gift in an office holiday secret Santa
Fred,5,Great Product,The tablet is a great value and resource for our 3 kids!
DonDon,5,Gteat for Price Paid,"This product was a great one, and the tablet does everything I wanted it to. Some of the websites I go to don't open but other than that it is great I love it."
LAEngineer,5,Great Tablet for Kid,"I purchased as a gift for a five year old, and he loves it. He has downloaded several educational games, and he loves it. Very easy to use, and has a great battery life. The price is great, and the tablet is great for the amount you pay."
Jasot217,5,Great for my 5 year old,"This is a great tablet for my 5 year old boy. It was inexpensive at $35 on black Friday. I particuly prefer it because, with my Amazon prime account, I can download videos to it. Amazon only let's Amazon products download videos. It was great when we traveled at Christmas. No more dvds and player needed!"
Shawn,5,Great E reader,I purchased this tablet to read books online and I love it the screen is nice.
Weasel,5,Great Value for the Price,Easy to use. Does it all. Faster than my other tablet.
jc1150,4,"great tablet, my wife loves it, easy to use.","First tablet , got it for my wife, she found it very easy to use and loves it.. She is not not computer savvy, but has no problem navigating what she uses her tablet for"
Smith45556,5,Great,I would purchase again. Great product for the price.
nanpuf,5,Convenient,"Just the right size for e-mail, games, and surfing. Fits in most purses or backpacks. Love it!"
Mush,5,Good tablet,Bought for kids. Happy with purchase.May get one for myself
Pieman18,5,Ease of use and flexibility,I appreciate the ease of use and the flexibility of the FIRE. Also its portability.
Tickled,5,NIce travel tablet,"It doesnt get any better than this for a travel tablet, or for kids. The size is perfect and function is seemless with prime. Excellent product."
goddessfuri,5,Just What I wanted.,"This is a great tablet, just the right size. I wish the cord was longer, but it was still really good. It stays charged for the right amount of time."
AmericanTalibanMan,5,Fun,For the price you can't beat it. Camera isn't the best as for zooming in but it takes good picture's. I also long the storage expansion
kindle,2,better tables around,Very nice size. Now only 50$. There's no Google play store so can't use Google Chrome cast to watch movies on tv. A tablet Without a Google play store is a disadvantage.
jenden,5,great for young granddaughter,Bought it for young granddaughter for Christmas. Husband liked it and bought himself one.
CheezCayke,5,Great little tablet for the money,"Fabulous little tablet for the money. Light and zippy. A few limitations on available apps and external hardware but if you just want something to access email, read a book or stream video this is the way to go.I needed this as an early December birthday present for an older lady whose old tablet had quit working. She loves it.Also Best Buy came through when Amazon was already out of their own product before it was even December."
MattB,4,Nice product,If you're watching TV and playing games this is for you. Don't waste money on a iPad. This is great for reading too. Bought for a fireman spending long hours at the firehouse.
tennbroad,4,it 's ok,it was to be a gift but not really liking it for myself but it's ok
7jadebells,5,I am very satisfied with this kindle.,"This is my first kindle, and I am using it to read, play a few games, although not really a gamer. Over all I am really liking this kindle. Great deal too."
Jonthan,5,Love it,The family loves it use it every day can't beat the price
FirstTimer1,3,Great tablet for the money,It's okay for a beginner tablet to me. Not enough apps for purchase. I like the play store better.
irwfbbp,5,Great for the price.,"I bought this as a gift for my niece, she loves it very much!"
Astasha,5,Best gift for mom!,My mom's not to tech savvy but this opened her world and made every day things she does on her computer at her finger tips while comfortably sitting in her living room or on road trips! About road trips she can book a room just sitting in her car that might of unavailable once she got Inside. I have seen this happen. Smart phones are great but when you get older to have a full screen makes it much easier! She loves also loves to read and there are so many books on Amazon she no longer has to run out the door to the book store or library Very helpful and fun when she can sit down and enjoy a card game with multiple players all over the world when no one is home!
DJW1,4,7 Inch fire,This Fire is a bit smaller than my Kindle Fire from a few years back. I still seems to have all the features and is 1/2 the price.
Crosspussler,4,Inexpensive tablet,"Delivered a crisp display but had trouble with the keyboard size, using a stylus helped!"
Brett,4,Great for price!!,This great for the money but it won't let you use Spotify??
waasaa,2,i had to return it,my gesr fit heart monitor was not compatible with android level
StokedRider,3,A Mixed Bag,"Pros:CheapFunctions wellUsually pretty fastCons:Wifi signal isn't as strong as more expensive tabletsScreen pales in comparison to other Kindle'sFrequent burn-inIf you're looking for a cheap tablet that works, this does that. If you're looking for a top quality product at a bargain bin price, this isn't that."
PsycoJohnny,5,Great Product,"Can do everything the regular kindles can do, but in full color. My Wife loves it and is always reading magazines and watching movies."
Mike,5,Affordable,"The tablet is not top of the line, but for using it for games, reading, watching movies, it works great. A lot of inexpensive tablets are junk but Amazon has put out a reliable product. I would recommend also getting a micro sd card."
Cindy11,5,Purchased for Grandson,He loves it.. Internet faster and has a lot of space I would recommend price great!!
Shopper54,5,Great gift!,I bought it for my son-in-law. He loves it! He wanted it as another device instead of his iPhone. This way he won't be disturbed by emails when using it. It was a great price too!
db64,5,Merry Christmas,It was the perfect Christmas present. Made everyone smile
Cassiemandm,4,Good for smaller kids,From what I can tell my kids love these. I do wish there was an option to keep it on the kids profile though
klaa,5,amazon tablet,the tablet a 7inch starter tablet is very durable excellent tablet for kidsvery tough good processing speed.
AmazonFireUser,4,Amazon fire,Amazon fire is cheap and best for reading and playing games. I bought this to gift someone and it was liked very much
AmyM,5,A good product for the price,"So far I have had no issues with my tablet, although I admit I have not fully used all its capabilities."
Dawgswhat5,5,Kindle Fire,"I bought this for my wife for Mother's Day. She loves reading but with the little ones in the house books were hard to keep. We are both very pleased with this as I can use it for a few books too. The picture and color on this thing is pretty darn good. I'm pleased with the sound as well. Overall this price is too good to pass up if you want a color screen reading tablet, this is a solid choice."
Monkey20,4,Nice electronic device,I got this product for my 2 year granddaughter to play games on. I am currently checking into purchasing the monthly $5 kids mode for her as it now has many pop ups.
3Greenbeans,5,Great teaching tool for middle school children,"My kids love these tablets, they can use these tablets for school and leisure. I can manage how much time they have to use their devices and can add additional accounts to each tablet and control each account separately. This was a great buy!"
rene,3,They made a good gift.,I bought 6 of them. They made very good christmas gifts..
MJSJRT,5,"Simple, easy, convenient",Inexpensive and light-weight. Very nice. Brightness for reading is appropriate.
Luminence,4,Perfect,This tablet is the perfect portable size for me.It's connectivity with other devices is great and i can use it for a lot of fun disractions during my free time
Skip,5,Great Tablet at a GREAT Price!,"I managed to make 4 kids very happy this Christmas with each getting their very own tablet! Great for gaming, emailing, streaming music & videos!"
Ciaramom,5,I love everything about this tablet.,"I love everything about this tablet. The look, feel, speed, and ease of use are perfect for my 8 year old. I bought several of these at Christmas time."
BH2010,4,Awesome for the price,"For the price, it's the best tablet you're going to find. It's pretty quick (though not as quick as the more expensive models) and holds a ton of books and a decent amount of movies. Display is nice (again, not as nice as the more expensive Kindle Fires). But it is totally worth what I paid for it."
MoodyRyan,4,a great purchase for the price,"I bought the Amazon Fire 7"" Tablet while walking around and saw the price 34.99 at the time. got home and set it up immediately and added the Play store app by Google ( a bit tricky ) the device is nice to hold , battery is above average and the screen is nice to look at. my kids started using it and after that , I couldn't even get a turn to play with it. it's a great device for the $$ , even at regular price of 50 dollars, it still is a good purchase. my only ""concern"" about it is that I wish it had another 1 gig of ram , totalling 2 instead of just 1 gb ram. enjoy :)"
Airman,5,Best Tablet For The Money Hands Down!,As a tablet compared to others regardless of price I'd score it above average but the other tablets in comparrison cost $100+ more. This is the best buy for your money...hands down as long as you have amazon prime (which is awesome on its own).
Timsnaruto,5,Great for my 10 year old boy,We have books and learning apps on it he loves it. I think that it's all around good tablet for kids or adults
Doodlebug,5,Awesome value for a great product!,I purchased two tablets for Christmas gifts and they were great!
Dale,5,Great,Its a great tablet. Its easy to use and connect to wifis.
Prof,4,Love it so far,"Easy setup. Compact. For reading, I still prefer my basic Kindle Reader, but the apps are nice to have when I want to do some extra things on the Fire."
Yogurtslinger,5,Brother in law loves it,Got it as an Xmas present for the brother in law. He loves it. Easy to read and play with
scrappy4317,5,Easy to use,Great deal for the cost. Would purchase item again.
Judy,5,Great introduction to a tablet!,The Kindle Fire was extremely easy to set up. It is user friendly and its size is great. It fits in my purse so I can have it with me when I need it.
Rasheik28,5,Great,It's a great product for my son and I love bestbuy
Preston2,5,Great product!,"Great quality and easy to use! Can't beat the price either. We bought two of these and a little over a month ago and they operate very smoothly. We use them for streaming shows, movies, playing games and surfing the net. I have nothing negative to say about this product."
craig,3,was a gift,Nit sure was s gift not sure what the product is like
Dana,4,Great.,Good purchase for a 10 year old to encourage reading.
Dominator,5,Great value!,"This is a great tablet for the price! Purchased for my 10 year old son. He uses to play games, watch movies, read books - pretty much anything. Picture is good too."
AuntTelly,5,Great tablet for my 8yo nephew,Perfect for my 8 year old nephew. He absolutely loves it and uses it everyday!
richrude,5,love it,Love this tablet I got it for my two toddler sons and they love it as well
Happymom,4,Great tablet for my son,This tablet is great and my 4 year old son can run it easily. I had to reset it when I first recieved it bit after that worked great. He plays lots of games and uses the audio books. The battery life is good as well and charges fast
Kumar,4,Good tablet,It is running smooth and is a good tablet at a very low price.
Georgia,5,Easy to use,Bought this for my 84 year old father-in-law. It was easy to setup to his WiFi and very easy to use. He loves it and now has a Facebook page.
Zaben,4,Great for kids and pictures.,I have all bought all three of my girls Kindles and they have all been happy.
guslack,5,"Great 7"" Tablet for a Low Price",This tablet has proven to be a great durable device for the grand kids. Using them for games and books for school work.
Lastdolla,5,Excellent,I just would like to say I brought this tablet for my 11 year old. And she has had it in her hand ever since. Great buy
Timbo,4,Nice tablet for child,We got this tablet for our grandson. The ease of operation is definitely thumbs up.
nhmn,5,the best,"I like that I can sync my email and now, actually use the Prime streaming video service. Yes, I know I could use the app on my Ipad, but like I said, I like it all packaged neatly here."
Steve,5,Not Bad,Got two of these for my father and mother in laws for Christmas and they absolutely love them. Easy to use and great first tablet.
Rdm11,4,Good tablet,For the cheaper price I really liked this tablet. We bought 2
MissD,5,Nice product great price,This is a great tablet. It is reasonably priced and has great quality.
Jane,5,Great purchase!,"I was looking for a good tablet, to use for movies, music. And to browse internet And when i saw that this tablet was on sale I had to buy it! and I'm glad I did. This is a great tablet and it""s light i carry in my purse. I Love it!"
kysamijumi,4,Good tablet for the casual user,"Social media, ereader(kindle) wade ease of use easy setup nice parental controls good tablet for the kids"
spdstores,5,Great Tablet for adults and kids,You cant go wrong with this for either your kids or a adult.
pettey2s,5,Love it,"It is convenient, great size and efficient easy to use"
Karlysmom,4,Good value,This is a great tablet for the money. Able to do everything a higher priced tablet does
Jonnie,5,Kid tested...Auntie approved,I bought this product for my nephew for Christmas. I was very impressed with how cheap it was price wise. He took it out of the box to use and it was very user friendly when it was set up. He enjoyed being able to download his games and how easy it was to use altogether. Thank you Best Buy and Amazon for making it the best Christmas ever
C3vet,5,Great tablet for beginner or a second,Good first tablet or back up to take with you without hazard to a better one.
lovely2014,5,Thinner and light weight,Love it because it is thin and light weight and bigger
